sample_id,dataset,video_path,label,frame_count,width,height,codec,file_size_mb,manipulation,generator,subject_id,source_id,original_video_id,split_group_id,audio_path,split,first_id
FFPP_0001010,FaceForensics++,Deepfakes/010_005.mp4,1,474,640,480,h264,1.4,Deepfakes,Deepfakes,,ORIG_005,ORIG_010,PAIR_ORIG_005_ORIG_010,,,10
FFPP_0001011,FaceForensics++,Deepfakes/011_805.mp4,1,632,1280,720,h264,3.25,Deepfakes,Deepfakes,,ORIG_805,ORIG_011,PAIR_ORIG_011_ORIG_805,,,11
FFPP_0001012,FaceForensics++,Deepfakes/012_026.mp4,1,363,640,480,h264,0.69,Deepfakes,Deepfakes,,ORIG_026,ORIG_012,PAIR_ORIG_012_ORIG_026,,,12
FFPP_0001013,FaceForensics++,Deepfakes/013_883.mp4,1,332,640,480,h264,0.58,Deepfakes,Deepfakes,,ORIG_883,ORIG_013,PAIR_ORIG_013_ORIG_883,,,13
FFPP_0001014,FaceForensics++,Deepfakes/014_790.mp4,1,676,640,480,h264,3.29,Deepfakes,Deepfakes,,ORIG_790,ORIG_014,PAIR_ORIG_014_ORIG_790,,,14
FFPP_0001015,FaceForensics++,Deepfakes/015_919.mp4,1,437,640,480,h264,0.83,Deepfakes,Deepfakes,,ORIG_919,ORIG_015,PAIR_ORIG_015_ORIG_919,,,15
FFPP_0001016,FaceForensics++,Deepfakes/016_209.mp4,1,678,640,480,h264,1.48,Deepfakes,Deepfakes,,ORIG_209,ORIG_016,PAIR_ORIG_016_ORIG_209,,,16
FFPP_0001017,FaceForensics++,Deepfakes/017_803.mp4,1,398,1280,720,h264,1.82,Deepfakes,Deepfakes,,ORIG_803,ORIG_017,PAIR_ORIG_017_ORIG_803,,,17
FFPP_0001018,FaceForensics++,Deepfakes/018_019.mp4,1,432,640,480,h264,0.4,Deepfakes,Deepfakes,,ORIG_019,ORIG_018,PAIR_ORIG_018_ORIG_019,,,18
FFPP_0001019,FaceForensics++,Deepfakes/019_018.mp4,1,1385,640,480,h264,2.28,Deepfakes,Deepfakes,,ORIG_018,ORIG_019,PAIR_ORIG_018_ORIG_019,,,19
FFPP_0001020,FaceForensics++,Deepfakes/020_344.mp4,1,390,1280,720,h264,1.68,Deepfakes,Deepfakes,,ORIG_344,ORIG_020,PAIR_ORIG_020_ORIG_344,,,20
FFPP_0001021,FaceForensics++,Deepfakes/021_312.mp4,1,431,654,480,h264,0.49,Deepfakes,Deepfakes,,ORIG_312,ORIG_021,PAIR_ORIG_021_ORIG_312,,,21
FFPP_0001022,FaceForensics++,Deepfakes/022_489.mp4,1,325,1280,720,h264,1.17,Deepfakes,Deepfakes,,ORIG_489,ORIG_022,PAIR_ORIG_022_ORIG_489,,,22
FFPP_0001023,FaceForensics++,Deepfakes/023_923.mp4,1,553,640,480,h264,1.74,Deepfakes,Deepfakes,,ORIG_923,ORIG_023,PAIR_ORIG_023_ORIG_923,,,23
FFPP_0001024,FaceForensics++,Deepfakes/024_073.mp4,1,306,640,480,h264,0.52,Deepfakes,Deepfakes,,ORIG_073,ORIG_024,PAIR_ORIG_024_ORIG_073,,,24
FFPP_0001025,FaceForensics++,Deepfakes/025_067.mp4,1,747,1440,1080,h264,3.32,Deepfakes,Deepfakes,,ORIG_067,ORIG_025,PAIR_ORIG_025_ORIG_067,,,25
FFPP_0001026,FaceForensics++,Deepfakes/026_012.mp4,1,322,640,480,h264,0.49,Deepfakes,Deepfakes,,ORIG_012,ORIG_026,PAIR_ORIG_012_ORIG_026,,,26
FFPP_0001027,FaceForensics++,Deepfakes/027_009.mp4,1,315,640,480,h264,0.84,Deepfakes,Deepfakes,,ORIG_009,ORIG_027,PAIR_ORIG_009_ORIG_027,,,27
FFPP_0001028,FaceForensics++,Deepfakes/028_068.mp4,1,434,848,480,h264,0.83,Deepfakes,Deepfakes,,ORIG_068,ORIG_028,PAIR_ORIG_028_ORIG_068,,,28
FFPP_0001029,FaceForensics++,Deepfakes/029_048.mp4,1,416,586,480,h264,0.49,Deepfakes,Deepfakes,,ORIG_048,ORIG_029,PAIR_ORIG_029_ORIG_048,,,29
FFPP_0001030,FaceForensics++,Deepfakes/030_193.mp4,1,297,1920,1080,h264,3.51,Deepfakes,Deepfakes,,ORIG_193,ORIG_030,PAIR_ORIG_030_ORIG_193,,,30
FFPP_0001031,FaceForensics++,Deepfakes/031_163.mp4,1,482,1280,720,h264,1.51,Deepfakes,Deepfakes,,ORIG_163,ORIG_031,PAIR_ORIG_031_ORIG_163,,,31
FFPP_0001032,FaceForensics++,Deepfakes/032_944.mp4,1,310,1280,720,h264,1.61,Deepfakes,Deepfakes,,ORIG_944,ORIG_032,PAIR_ORIG_032_ORIG_944,,,32
FFPP_0001033,FaceForensics++,Deepfakes/033_097.mp4,1,809,854,480,h264,1.77,Deepfakes,Deepfakes,,ORIG_097,ORIG_033,PAIR_ORIG_033_ORIG_097,,,33
FFPP_0001034,FaceForensics++,Deepfakes/034_590.mp4,1,407,960,720,h264,1.14,Deepfakes,Deepfakes,,ORIG_590,ORIG_034,PAIR_ORIG_034_ORIG_590,,,34
FFPP_0001035,FaceForensics++,Deepfakes/035_036.mp4,1,423,640,480,h264,0.56,Deepfakes,Deepfakes,,ORIG_036,ORIG_035,PAIR_ORIG_035_ORIG_036,,,35
FFPP_0001036,FaceForensics++,Deepfakes/036_035.mp4,1,337,640,480,h264,0.91,Deepfakes,Deepfakes,,ORIG_035,ORIG_036,PAIR_ORIG_035_ORIG_036,,,36
FFPP_0001037,FaceForensics++,Deepfakes/037_072.mp4,1,454,656,480,h264,0.75,Deepfakes,Deepfakes,,ORIG_072,ORIG_037,PAIR_ORIG_037_ORIG_072,,,37
FFPP_0001038,FaceForensics++,Deepfakes/038_125.mp4,1,305,854,480,h264,0.54,Deepfakes,Deepfakes,,ORIG_125,ORIG_038,PAIR_ORIG_038_ORIG_125,,,38
FFPP_0001039,FaceForensics++,Deepfakes/039_058.mp4,1,609,654,480,h264,1.03,Deepfakes,Deepfakes,,ORIG_058,ORIG_039,PAIR_ORIG_039_ORIG_058,,,39
FFPP_0001040,FaceForensics++,Deepfakes/040_997.mp4,1,548,1280,720,h264,2.79,Deepfakes,Deepfakes,,ORIG_997,ORIG_040,PAIR_ORIG_040_ORIG_997,,,40
FFPP_0001041,FaceForensics++,Deepfakes/041_063.mp4,1,349,656,480,h264,0.68,Deepfakes,Deepfakes,,ORIG_063,ORIG_041,PAIR_ORIG_041_ORIG_063,,,41
FFPP_0001042,FaceForensics++,Deepfakes/042_084.mp4,1,338,640,480,h264,0.9,Deepfakes,Deepfakes,,ORIG_084,ORIG_042,PAIR_ORIG_042_ORIG_084,,,42
FFPP_0001043,FaceForensics++,Deepfakes/043_110.mp4,1,495,1280,720,h264,1.54,Deepfakes,Deepfakes,,ORIG_110,ORIG_043,PAIR_ORIG_043_ORIG_110,,,43
FFPP_0001044,FaceForensics++,Deepfakes/044_945.mp4,1,335,1280,720,h264,1.74,Deepfakes,Deepfakes,,ORIG_945,ORIG_044,PAIR_ORIG_044_ORIG_945,,,44
FFPP_0001045,FaceForensics++,Deepfakes/045_889.mp4,1,350,1920,1080,h264,4.55,Deepfakes,Deepfakes,,ORIG_889,ORIG_045,PAIR_ORIG_045_ORIG_889,,,45
FFPP_0001046,FaceForensics++,Deepfakes/046_904.mp4,1,504,1280,720,h264,2.23,Deepfakes,Deepfakes,,ORIG_904,ORIG_046,PAIR_ORIG_046_ORIG_904,,,46
FFPP_0001047,FaceForensics++,Deepfakes/047_862.mp4,1,319,854,480,h264,0.51,Deepfakes,Deepfakes,,ORIG_862,ORIG_047,PAIR_ORIG_047_ORIG_862,,,47
FFPP_0001048,FaceForensics++,Deepfakes/048_029.mp4,1,485,640,480,h264,1.12,Deepfakes,Deepfakes,,ORIG_029,ORIG_048,PAIR_ORIG_029_ORIG_048,,,48
FFPP_0001049,FaceForensics++,Deepfakes/049_946.mp4,1,360,640,480,h264,0.45,Deepfakes,Deepfakes,,ORIG_946,ORIG_049,PAIR_ORIG_049_ORIG_946,,,49
FFPP_0001050,FaceForensics++,Deepfakes/050_059.mp4,1,530,640,480,h264,0.58,Deepfakes,Deepfakes,,ORIG_059,ORIG_050,PAIR_ORIG_050_ORIG_059,,,50
FFPP_0001051,FaceForensics++,Deepfakes/051_332.mp4,1,717,1280,720,h264,2.56,Deepfakes,Deepfakes,,ORIG_332,ORIG_051,PAIR_ORIG_051_ORIG_332,,,51
FFPP_0001052,FaceForensics++,Deepfakes/052_108.mp4,1,323,1920,1080,h264,2.85,Deepfakes,Deepfakes,,ORIG_108,ORIG_052,PAIR_ORIG_052_ORIG_108,,,52
FFPP_0001053,FaceForensics++,Deepfakes/053_095.mp4,1,417,656,480,h264,0.61,Deepfakes,Deepfakes,,ORIG_095,ORIG_053,PAIR_ORIG_053_ORIG_095,,,53
FFPP_0001054,FaceForensics++,Deepfakes/054_071.mp4,1,368,640,480,h264,0.69,Deepfakes,Deepfakes,,ORIG_071,ORIG_054,PAIR_ORIG_054_ORIG_071,,,54
FFPP_0001055,FaceForensics++,Deepfakes/055_147.mp4,1,394,640,480,h264,0.57,Deepfakes,Deepfakes,,ORIG_147,ORIG_055,PAIR_ORIG_055_ORIG_147,,,55
FFPP_0001056,FaceForensics++,Deepfakes/056_996.mp4,1,373,1280,720,h264,1.08,Deepfakes,Deepfakes,,ORIG_996,ORIG_056,PAIR_ORIG_056_ORIG_996,,,56
FFPP_0001057,FaceForensics++,Deepfakes/057_070.mp4,1,431,656,480,h264,1.25,Deepfakes,Deepfakes,,ORIG_070,ORIG_057,PAIR_ORIG_057_ORIG_070,,,57
FFPP_0001058,FaceForensics++,Deepfakes/058_039.mp4,1,669,720,480,h264,1.15,Deepfakes,Deepfakes,,ORIG_039,ORIG_058,PAIR_ORIG_039_ORIG_058,,,58
FFPP_0001059,FaceForensics++,Deepfakes/059_050.mp4,1,721,640,480,h264,1.46,Deepfakes,Deepfakes,,ORIG_050,ORIG_059,PAIR_ORIG_050_ORIG_059,,,59
FFPP_0001060,FaceForensics++,Deepfakes/060_088.mp4,1,844,600,480,h264,4.06,Deepfakes,Deepfakes,,ORIG_088,ORIG_060,PAIR_ORIG_060_ORIG_088,,,60
FFPP_0001061,FaceForensics++,Deepfakes/061_080.mp4,1,337,654,480,h264,0.69,Deepfakes,Deepfakes,,ORIG_080,ORIG_061,PAIR_ORIG_061_ORIG_080,,,61
FFPP_0001062,FaceForensics++,Deepfakes/062_066.mp4,1,423,640,480,h264,0.65,Deepfakes,Deepfakes,,ORIG_066,ORIG_062,PAIR_ORIG_062_ORIG_066,,,62
FFPP_0001063,FaceForensics++,Deepfakes/063_041.mp4,1,930,640,480,h264,1.95,Deepfakes,Deepfakes,,ORIG_041,ORIG_063,PAIR_ORIG_041_ORIG_063,,,63
FFPP_0001064,FaceForensics++,Deepfakes/064_991.mp4,1,402,640,480,h264,0.84,Deepfakes,Deepfakes,,ORIG_991,ORIG_064,PAIR_ORIG_064_ORIG_991,,,64
FFPP_0001065,FaceForensics++,Deepfakes/065_089.mp4,1,442,1280,720,h264,3.29,Deepfakes,Deepfakes,,ORIG_089,ORIG_065,PAIR_ORIG_065_ORIG_089,,,65
FFPP_0001066,FaceForensics++,Deepfakes/066_062.mp4,1,435,720,480,h264,1.48,Deepfakes,Deepfakes,,ORIG_062,ORIG_066,PAIR_ORIG_062_ORIG_066,,,66
FFPP_0001067,FaceForensics++,Deepfakes/067_025.mp4,1,538,1280,720,h264,2.09,Deepfakes,Deepfakes,,ORIG_025,ORIG_067,PAIR_ORIG_025_ORIG_067,,,67
FFPP_0001068,FaceForensics++,Deepfakes/068_028.mp4,1,401,640,480,h264,0.73,Deepfakes,Deepfakes,,ORIG_028,ORIG_068,PAIR_ORIG_028_ORIG_068,,,68
FFPP_0001069,FaceForensics++,Deepfakes/069_961.mp4,1,774,1280,720,h264,3.9,Deepfakes,Deepfakes,,ORIG_961,ORIG_069,PAIR_ORIG_069_ORIG_961,,,69
FFPP_0001070,FaceForensics++,Deepfakes/070_057.mp4,1,367,640,480,h264,0.8,Deepfakes,Deepfakes,,ORIG_057,ORIG_070,PAIR_ORIG_057_ORIG_070,,,70
FFPP_0001071,FaceForensics++,Deepfakes/071_054.mp4,1,453,654,480,h264,1.35,Deepfakes,Deepfakes,,ORIG_054,ORIG_071,PAIR_ORIG_054_ORIG_071,,,71
FFPP_0001072,FaceForensics++,Deepfakes/072_037.mp4,1,311,656,480,h264,0.84,Deepfakes,Deepfakes,,ORIG_037,ORIG_072,PAIR_ORIG_037_ORIG_072,,,72
FFPP_0001073,FaceForensics++,Deepfakes/073_024.mp4,1,703,1280,720,h264,2.72,Deepfakes,Deepfakes,,ORIG_024,ORIG_073,PAIR_ORIG_024_ORIG_073,,,73
FFPP_0001074,FaceForensics++,Deepfakes/074_825.mp4,1,345,1920,1080,h264,2.86,Deepfakes,Deepfakes,,ORIG_825,ORIG_074,PAIR_ORIG_074_ORIG_825,,,74
FFPP_0001075,FaceForensics++,Deepfakes/075_977.mp4,1,613,1280,720,h264,3.15,Deepfakes,Deepfakes,,ORIG_977,ORIG_075,PAIR_ORIG_075_ORIG_977,,,75
FFPP_0001076,FaceForensics++,Deepfakes/076_079.mp4,1,329,1280,720,h264,1.25,Deepfakes,Deepfakes,,ORIG_079,ORIG_076,PAIR_ORIG_076_ORIG_079,,,76
FFPP_0001077,FaceForensics++,Deepfakes/077_100.mp4,1,611,640,480,h264,0.85,Deepfakes,Deepfakes,,ORIG_100,ORIG_077,PAIR_ORIG_077_ORIG_100,,,77
FFPP_0001078,FaceForensics++,Deepfakes/078_955.mp4,1,523,1280,720,h264,1.93,Deepfakes,Deepfakes,,ORIG_955,ORIG_078,PAIR_ORIG_078_ORIG_955,,,78
FFPP_0001079,FaceForensics++,Deepfakes/079_076.mp4,1,424,1280,720,h264,1.56,Deepfakes,Deepfakes,,ORIG_076,ORIG_079,PAIR_ORIG_076_ORIG_079,,,79
FFPP_0001080,FaceForensics++,Deepfakes/080_061.mp4,1,483,656,480,h264,0.57,Deepfakes,Deepfakes,,ORIG_061,ORIG_080,PAIR_ORIG_061_ORIG_080,,,80
FFPP_0001081,FaceForensics++,Deepfakes/081_087.mp4,1,1170,600,480,h264,2.16,Deepfakes,Deepfakes,,ORIG_087,ORIG_081,PAIR_ORIG_081_ORIG_087,,,81
FFPP_0001082,FaceForensics++,Deepfakes/082_103.mp4,1,316,640,480,h264,0.61,Deepfakes,Deepfakes,,ORIG_103,ORIG_082,PAIR_ORIG_082_ORIG_103,,,82
FFPP_0001083,FaceForensics++,Deepfakes/083_213.mp4,1,545,1920,1080,h264,5.3,Deepfakes,Deepfakes,,ORIG_213,ORIG_083,PAIR_ORIG_083_ORIG_213,,,83
FFPP_0001084,FaceForensics++,Deepfakes/084_042.mp4,1,375,1920,1080,h264,5.49,Deepfakes,Deepfakes,,ORIG_042,ORIG_084,PAIR_ORIG_042_ORIG_084,,,84
FFPP_0001085,FaceForensics++,Deepfakes/085_124.mp4,1,329,640,480,h264,1.78,Deepfakes,Deepfakes,,ORIG_124,ORIG_085,PAIR_ORIG_085_ORIG_124,,,85
FFPP_0001086,FaceForensics++,Deepfakes/086_090.mp4,1,935,1280,720,h264,2.58,Deepfakes,Deepfakes,,ORIG_090,ORIG_086,PAIR_ORIG_086_ORIG_090,,,86
FFPP_0001087,FaceForensics++,Deepfakes/087_081.mp4,1,309,640,480,h264,0.37,Deepfakes,Deepfakes,,ORIG_081,ORIG_087,PAIR_ORIG_081_ORIG_087,,,87
FFPP_0001088,FaceForensics++,Deepfakes/088_060.mp4,1,665,640,480,h264,2.07,Deepfakes,Deepfakes,,ORIG_060,ORIG_088,PAIR_ORIG_060_ORIG_088,,,88
FFPP_0001089,FaceForensics++,Deepfakes/089_065.mp4,1,751,1280,720,h264,3.06,Deepfakes,Deepfakes,,ORIG_065,ORIG_089,PAIR_ORIG_065_ORIG_089,,,89
FFPP_0001090,FaceForensics++,Deepfakes/090_086.mp4,1,687,1280,720,h264,4.45,Deepfakes,Deepfakes,,ORIG_086,ORIG_090,PAIR_ORIG_086_ORIG_090,,,90
FFPP_0001091,FaceForensics++,Deepfakes/091_116.mp4,1,639,658,480,h264,1.53,Deepfakes,Deepfakes,,ORIG_116,ORIG_091,PAIR_ORIG_091_ORIG_116,,,91
FFPP_0001092,FaceForensics++,Deepfakes/092_098.mp4,1,460,720,480,h264,0.95,Deepfakes,Deepfakes,,ORIG_098,ORIG_092,PAIR_ORIG_092_ORIG_098,,,92
FFPP_0001093,FaceForensics++,Deepfakes/093_121.mp4,1,308,1280,720,h264,2.22,Deepfakes,Deepfakes,,ORIG_121,ORIG_093,PAIR_ORIG_093_ORIG_121,,,93
FFPP_0001094,FaceForensics++,Deepfakes/094_111.mp4,1,559,1280,720,h264,2.39,Deepfakes,Deepfakes,,ORIG_111,ORIG_094,PAIR_ORIG_094_ORIG_111,,,94
FFPP_0001095,FaceForensics++,Deepfakes/095_053.mp4,1,1006,640,480,h264,2.08,Deepfakes,Deepfakes,,ORIG_053,ORIG_095,PAIR_ORIG_053_ORIG_095,,,95
FFPP_0001096,FaceForensics++,Deepfakes/096_101.mp4,1,504,1920,1080,h264,5.06,Deepfakes,Deepfakes,,ORIG_101,ORIG_096,PAIR_ORIG_096_ORIG_101,,,96
FFPP_0001097,FaceForensics++,Deepfakes/097_033.mp4,1,478,640,480,h264,0.98,Deepfakes,Deepfakes,,ORIG_033,ORIG_097,PAIR_ORIG_033_ORIG_097,,,97
FFPP_0001098,FaceForensics++,Deepfakes/098_092.mp4,1,299,656,480,h264,0.39,Deepfakes,Deepfakes,,ORIG_092,ORIG_098,PAIR_ORIG_092_ORIG_098,,,98
FFPP_0001099,FaceForensics++,Deepfakes/099_295.mp4,1,613,1920,1080,h264,9.96,Deepfakes,Deepfakes,,ORIG_295,ORIG_099,PAIR_ORIG_099_ORIG_295,,,99
FFPP_0001100,FaceForensics++,Deepfakes/100_077.mp4,1,423,640,480,h264,0.86,Deepfakes,Deepfakes,,ORIG_077,ORIG_100,PAIR_ORIG_077_ORIG_100,,,100
FFPP_0001101,FaceForensics++,Deepfakes/101_096.mp4,1,1148,854,480,h264,2.31,Deepfakes,Deepfakes,,ORIG_096,ORIG_101,PAIR_ORIG_096_ORIG_101,,,101
FFPP_0001102,FaceForensics++,Deepfakes/102_114.mp4,1,389,720,480,h264,0.94,Deepfakes,Deepfakes,,ORIG_114,ORIG_102,PAIR_ORIG_102_ORIG_114,,,102
FFPP_0001103,FaceForensics++,Deepfakes/103_082.mp4,1,595,656,480,h264,1.72,Deepfakes,Deepfakes,,ORIG_082,ORIG_103,PAIR_ORIG_082_ORIG_103,,,103
FFPP_0001104,FaceForensics++,Deepfakes/104_126.mp4,1,462,640,480,h264,1.24,Deepfakes,Deepfakes,,ORIG_126,ORIG_104,PAIR_ORIG_104_ORIG_126,,,104
FFPP_0001105,FaceForensics++,Deepfakes/105_180.mp4,1,300,640,480,h264,1.08,Deepfakes,Deepfakes,,ORIG_180,ORIG_105,PAIR_ORIG_105_ORIG_180,,,105
FFPP_0001106,FaceForensics++,Deepfakes/106_198.mp4,1,356,854,480,h264,0.45,Deepfakes,Deepfakes,,ORIG_198,ORIG_106,PAIR_ORIG_106_ORIG_198,,,106
FFPP_0001107,FaceForensics++,Deepfakes/107_109.mp4,1,556,640,480,h264,1.08,Deepfakes,Deepfakes,,ORIG_109,ORIG_107,PAIR_ORIG_107_ORIG_109,,,107
FFPP_0001108,FaceForensics++,Deepfakes/108_052.mp4,1,300,1440,1080,h264,3.67,Deepfakes,Deepfakes,,ORIG_052,ORIG_108,PAIR_ORIG_052_ORIG_108,,,108
FFPP_0001109,FaceForensics++,Deepfakes/109_107.mp4,1,298,640,480,h264,0.98,Deepfakes,Deepfakes,,ORIG_107,ORIG_109,PAIR_ORIG_107_ORIG_109,,,109
FFPP_0001110,FaceForensics++,Deepfakes/110_043.mp4,1,565,960,720,h264,1.17,Deepfakes,Deepfakes,,ORIG_043,ORIG_110,PAIR_ORIG_043_ORIG_110,,,110
FFPP_0001111,FaceForensics++,Deepfakes/111_094.mp4,1,433,640,480,h264,0.89,Deepfakes,Deepfakes,,ORIG_094,ORIG_111,PAIR_ORIG_094_ORIG_111,,,111
FFPP_0001112,FaceForensics++,Deepfakes/112_892.mp4,1,418,1920,1080,h264,5.7,Deepfakes,Deepfakes,,ORIG_892,ORIG_112,PAIR_ORIG_112_ORIG_892,,,112
FFPP_0001113,FaceForensics++,Deepfakes/113_983.mp4,1,841,1280,720,h264,4.03,Deepfakes,Deepfakes,,ORIG_983,ORIG_113,PAIR_ORIG_113_ORIG_983,,,113
FFPP_0001114,FaceForensics++,Deepfakes/114_102.mp4,1,1269,640,480,h264,2.52,Deepfakes,Deepfakes,,ORIG_102,ORIG_114,PAIR_ORIG_102_ORIG_114,,,114
FFPP_0001115,FaceForensics++,Deepfakes/115_939.mp4,1,320,1280,720,h264,1.32,Deepfakes,Deepfakes,,ORIG_939,ORIG_115,PAIR_ORIG_115_ORIG_939,,,115
FFPP_0001116,FaceForensics++,Deepfakes/116_091.mp4,1,327,640,480,h264,0.65,Deepfakes,Deepfakes,,ORIG_091,ORIG_116,PAIR_ORIG_091_ORIG_116,,,116
FFPP_0001117,FaceForensics++,Deepfakes/117_217.mp4,1,548,1280,720,h264,3.74,Deepfakes,Deepfakes,,ORIG_217,ORIG_117,PAIR_ORIG_117_ORIG_217,,,117
FFPP_0001118,FaceForensics++,Deepfakes/118_120.mp4,1,352,852,480,h264,0.95,Deepfakes,Deepfakes,,ORIG_120,ORIG_118,PAIR_ORIG_118_ORIG_120,,,118
FFPP_0001119,FaceForensics++,Deepfakes/119_123.mp4,1,502,640,480,h264,0.82,Deepfakes,Deepfakes,,ORIG_123,ORIG_119,PAIR_ORIG_119_ORIG_123,,,119
FFPP_0001120,FaceForensics++,Deepfakes/120_118.mp4,1,405,640,480,h264,1.07,Deepfakes,Deepfakes,,ORIG_118,ORIG_120,PAIR_ORIG_118_ORIG_120,,,120
FFPP_0001121,FaceForensics++,Deepfakes/121_093.mp4,1,553,1920,1080,h264,4.1,Deepfakes,Deepfakes,,ORIG_093,ORIG_121,PAIR_ORIG_093_ORIG_121,,,121
FFPP_0001122,FaceForensics++,Deepfakes/122_144.mp4,1,309,1264,720,h264,1.55,Deepfakes,Deepfakes,,ORIG_144,ORIG_122,PAIR_ORIG_122_ORIG_144,,,122
FFPP_0001123,FaceForensics++,Deepfakes/123_119.mp4,1,514,640,480,h264,1.14,Deepfakes,Deepfakes,,ORIG_119,ORIG_123,PAIR_ORIG_119_ORIG_123,,,123
FFPP_0001124,FaceForensics++,Deepfakes/124_085.mp4,1,318,600,480,h264,0.69,Deepfakes,Deepfakes,,ORIG_085,ORIG_124,PAIR_ORIG_085_ORIG_124,,,124
FFPP_0001125,FaceForensics++,Deepfakes/125_038.mp4,1,500,1280,720,h264,2.32,Deepfakes,Deepfakes,,ORIG_038,ORIG_125,PAIR_ORIG_038_ORIG_125,,,125
FFPP_0001126,FaceForensics++,Deepfakes/126_104.mp4,1,328,640,480,h264,0.68,Deepfakes,Deepfakes,,ORIG_104,ORIG_126,PAIR_ORIG_104_ORIG_126,,,126
FFPP_0001127,FaceForensics++,Deepfakes/127_129.mp4,1,864,1280,720,h264,2.9,Deepfakes,Deepfakes,,ORIG_129,ORIG_127,PAIR_ORIG_127_ORIG_129,,,127
FFPP_0001128,FaceForensics++,Deepfakes/128_896.mp4,1,735,640,480,h264,1.23,Deepfakes,Deepfakes,,ORIG_896,ORIG_128,PAIR_ORIG_128_ORIG_896,,,128
FFPP_0001129,FaceForensics++,Deepfakes/129_127.mp4,1,330,1280,720,h264,1.62,Deepfakes,Deepfakes,,ORIG_127,ORIG_129,PAIR_ORIG_127_ORIG_129,,,129
FFPP_0001130,FaceForensics++,Deepfakes/130_139.mp4,1,662,656,480,h264,2.17,Deepfakes,Deepfakes,,ORIG_139,ORIG_130,PAIR_ORIG_130_ORIG_139,,,130
FFPP_0001131,FaceForensics++,Deepfakes/131_518.mp4,1,306,600,480,h264,0.5,Deepfakes,Deepfakes,,ORIG_518,ORIG_131,PAIR_ORIG_131_ORIG_518,,,131
FFPP_0001132,FaceForensics++,Deepfakes/132_007.mp4,1,413,640,480,h264,0.39,Deepfakes,Deepfakes,,ORIG_007,ORIG_132,PAIR_ORIG_007_ORIG_132,,,132
FFPP_0001133,FaceForensics++,Deepfakes/133_148.mp4,1,767,720,480,h264,1.07,Deepfakes,Deepfakes,,ORIG_148,ORIG_133,PAIR_ORIG_133_ORIG_148,,,133
FFPP_0001134,FaceForensics++,Deepfakes/134_192.mp4,1,346,1280,720,h264,1.99,Deepfakes,Deepfakes,,ORIG_192,ORIG_134,PAIR_ORIG_134_ORIG_192,,,134
FFPP_0001135,FaceForensics++,Deepfakes/135_880.mp4,1,327,1280,720,h264,1.17,Deepfakes,Deepfakes,,ORIG_880,ORIG_135,PAIR_ORIG_135_ORIG_880,,,135
FFPP_0001136,FaceForensics++,Deepfakes/136_285.mp4,1,611,1280,720,h264,3.55,Deepfakes,Deepfakes,,ORIG_285,ORIG_136,PAIR_ORIG_136_ORIG_285,,,136
FFPP_0001137,FaceForensics++,Deepfakes/137_165.mp4,1,606,720,480,h264,2.12,Deepfakes,Deepfakes,,ORIG_165,ORIG_137,PAIR_ORIG_137_ORIG_165,,,137
FFPP_0001138,FaceForensics++,Deepfakes/138_142.mp4,1,410,600,480,h264,0.43,Deepfakes,Deepfakes,,ORIG_142,ORIG_138,PAIR_ORIG_138_ORIG_142,,,138
